year,mo,extent_north,area_north,extent_south,area_south
1978,11,11.65,9.04,15.9,11.69
1978,12,13.67,10.9,10.4,6.97
1979,1,15.41,12.41,5.4,3.47
1979,2,16.18,13.18,3.14,2.11
1979,3,16.34,13.21,4,2.66
1979,4,15.45,12.53,7.49,5.45
1979,5,13.86,11.11,10.83,8.3
1979,6,12.53,9.34,14.19,11.22
1979,7,10.31,6.69,16.52,13.26
1979,8,8.04,5.06,17.7,13.79
1979,9,7.05,4.58,18.2,14.29
1979,10,8.75,6.19,17.82,13.72
1979,11,10.94,8.37,15.34,11.32
1979,12,13.34,10.63,9.24,6.24
1980,1,14.86,11.94,4.56,3.08
1980,2,15.96,12.9,2.82,1.85
1980,3,16.04,12.99,3.29,2.11
1980,4,15.43,12.52,5.4,3.68
1980,5,13.79,10.96,8.86,6.44
1980,6,12.2,9,12.49,9.58
1980,7,10.1,6.53,15.56,12.18
1980,8,7.98,4.94,17.81,13.96
1980,9,7.67,4.87,18.82,14.87
1980,10,9.18,6.5,18.57,14.57
1980,11,11.38,8.73,16.13,11.84
1980,12,13.59,10.78,10.16,6.56
1981,1,14.91,11.91,4.41,2.84
1981,2,15.6,12.53,2.87,1.74
1981,3,15.63,12.71,3.39,2.16
1981,4,15.01,12.24,5.84,4.07
1981,5,13.8,10.99,9.35,7.08
1981,6,12.43,9.03,13.11,10.16
1981,7,10.27,6.31,16.04,12.78
1981,8,7.84,4.48,17.74,14.16
1981,9,7.14,4.44,18.6,14.78
1981,10,8.86,6.27,18.29,14.43
1981,11,10.93,8.31,16.11,12.07
1981,12,13.34,10.54,10.89,7.02
1982,1,15.18,12.19,5.26,3.25
1982,2,15.97,12.87,3.13,1.86
1982,3,16.04,13.07,4.29,2.84
1982,4,15.47,12.63,7.72,5.79
1982,5,13.97,11.17,10.76,8.27
1982,6,12.48,9.46,13.42,10.5
1982,7,10.37,6.87,15.87,12.47
1982,8,8.14,5,17.79,14.28
1982,9,7.3,4.43,18.35,14.53
1982,10,9.42,6.67,17.79,13.74
1982,11,11.63,9.06,15.54,11.27
1982,12,13.64,10.88,9.22,6.31
1983,1,14.94,12.01,4.77,3.21
1983,2,16.01,12.94,3.07,1.91
1983,3,16.09,12.93,4.02,2.62
1983,4,15.17,12.21,6.47,4.7
1983,5,13.49,10.87,9.53,7.16
1983,6,12.3,9.27,12.64,9.77
1983,7,10.57,6.86,15.47,12.37
1983,8,8.19,4.97,17.25,13.84
1983,9,7.39,4.7,18.59,14.68
1983,10,9.33,6.79,17.92,13.92
1983,11,11.46,8.99,16.01,11.57
1983,12,13.3,10.63,10.39,6.71
1984,1,14.47,11.68,4.78,2.93
1984,2,15.3,12.26,2.68,1.75
1984,3,15.58,12.55,3.61,2.34
1984,4,15.01,12.18,6.42,4.53
1984,5,13.58,10.88,9.75,7.41
1984,6,12.15,9.09,13.23,10.64
1984,7,9.98,6.3,16.4,13.38
1984,8,7.77,4.68,17.93,14.23
1984,9,6.81,4.11,18.17,14.27
1984,10,8.56,5.91,17.57,13.73
1984,11,10.84,8.24,16.13,12.06
1984,12,12.99,10.27,10.47,6.96
1985,1,14.72,11.69,4.46,2.87
1985,2,15.47,12.48,2.84,1.83
1985,3,15.89,12.75,3.72,2.54
1985,4,15.36,12.54,6.49,4.74
1985,5,14.07,11.25,10.15,7.84
1985,6,12.22,8.96,13.43,10.51
1985,7,9.74,5.99,15.72,12.48
1985,8,7.4,4.6,17.63,14.24
1985,9,6.7,4.23,18.7,14.72
1985,10,8.55,6.12,18.2,14.37
1985,11,11.02,8.42,16.14,12.34
1985,12,13.05,10.24,11.35,7.46
1986,1,14.89,11.88,5.42,3.43
1986,2,15.78,12.62,3.19,2
1986,3,15.91,12.72,3.7,2.38
1986,4,15.06,12.04,6.39,4.56
1986,5,13.38,10.7,9.3,7.04
1986,6,11.98,8.99,12.69,9.72
1986,7,10.15,6.62,15.32,12.09
1986,8,7.98,5.01,17,13.46
1986,9,7.41,4.72,17.68,13.88
1986,10,9.48,6.83,17.18,13.32
1986,11,11.45,8.87,15.01,10.87
1986,12,13.22,10.53,9.65,6.49
1987,1,14.97,11.9,5.13,3.31
1987,2,16.05,13.02,3.25,2
1987,3,15.82,12.83,4.11,2.75
1987,4,15.21,12.35,6.8,5.04
1987,5,13.74,10.97,9.69,7.53
1987,6,12.49,9.39,12.68,9.91
1987,7,10.33,6.55,15.75,12.5
1987,8,7.63,6.095,17.6,14.02
1987,9,7.28,5.64,18.25,14.27
1987,10,9.05,7.49,17.67,13.71
1987,11,11.22,9.73,15.58,11.23
1988,2,15.58,13.57,2.89,1.9
1988,3,15.96,13.9,3.97,2.59
1988,4,15.12,13.18,6.29,4.44
1988,5,13.56,11.41,9.6,7.23
1988,6,11.94,9.68,13.09,10.28
1988,7,9.81,7.01,15.75,12.62
1988,8,7.89,5.42,17.56,13.98
1988,9,7.37,5.36,18.31,14.2
1988,10,9.13,7.52,18.36,14.41
1988,11,11.33,9.91,16.15,12.29
1988,12,13.63,11.99,11.06,7.4
1989,1,14.95,13.18,4.74,3.17
1989,2,15.5,13.36,2.98,2.03
1989,3,15.42,13.21,3.93,2.59
1989,4,14.33,12.36,6.31,4.5
1989,5,13.04,11.35,10.3,8
1989,6,12.24,9.95,13.58,10.81
1989,7,10.13,7.33,15.71,12.58
1989,8,7.88,5.56,17.47,14.03
1989,9,7.01,4.86,18.12,14.48
1989,10,8.83,6.96,17.86,13.85
1989,11,11.12,9.46,15.73,11.42
1989,12,13.39,11.61,9.84,6.7
1990,1,14.78,12.8,4.87,3.39
1990,2,15.58,13.42,3.04,2.21
1990,3,15.87,13.51,3.97,2.79
1990,4,14.65,12.28,7,5.18
1990,5,13.23,10.9,9.72,7.46
1990,6,11.64,9.2,13.08,10.35
1990,7,9.25,6.52,15.57,12.27
1990,8,6.8,4.99,17.57,14.03
1990,9,6.14,4.55,18.19,14.39
1990,10,8.48,6.74,17.95,13.8
1990,11,11.08,9.64,15.47,11.35
1990,12,13.11,11.47,9.95,6.73
1991,1,14.36,12.57,5.34,3.52
1991,2,15.25,13.22,3.16,2.09
1991,3,15.42,13.42,3.81,2.65
1991,4,14.86,12.87,7.05,5.18
1991,5,13.47,11.5,10.28,7.86
1991,6,12.11,9.66,13.07,9.99
1991,7,9.51,6.76,15.55,12.22
1991,8,7.42,5.21,17.72,14.05
1991,9,6.47,4.51,18.31,14.47
1991,10,8.54,6.75,17.92,13.8
1991,11,10.88,9.25,15.58,11.46
1991,12,12.95,11.19,10.19,6.8
1992,1,14.64,12.61,4.75,3.24
1992,2,15.46,13.58,2.84,1.86
1992,3,15.48,13.48,3.57,2.47
1992,4,14.68,12.84,6.79,5
1992,5,13.22,11.43,9.92,7.62
1992,6,12.15,9.95,12.81,10
1992,7,10.32,7.22,15.89,12.58
1992,8,7.93,5.44,17.73,14.17
1992,9,7.47,5.43,18.15,14.13
1992,10,9.32,7.74,17.93,13.85
1992,11,11.38,9.75,15.9,11.2
1992,12,13.41,11.72,10.21,6.18
1993,1,14.9,12.93,4.41,2.55
1993,2,15.69,13.61,2.48,1.37
1993,3,15.81,13.77,3.67,2.24
1993,4,15.08,13.03,6.65,4.9
1993,5,13.37,11.42,10.1,7.89
1993,6,11.87,9.26,13.15,10.37
1993,7,9.48,6.28,15.85,12.72
1993,8,7.33,4.76,17.49,13.93
1993,9,6.4,4.58,18.54,14.7
1993,10,8.79,7.06,18.13,14.17
1993,11,11.32,9.54,16.04,11.83
1993,12,13.32,11.48,9.93,6.67
1994,1,14.73,12.88,4.97,3.37
1994,2,15.56,13.52,3.2,2.22
1994,3,15.55,13.55,4.55,3.2
1994,4,14.89,12.91,7.22,5.45
1994,5,13.62,11.66,10.41,8.21
1994,6,12.02,9.68,13.56,10.73
1994,7,9.93,6.92,16.3,13.12
1994,8,7.64,5.19,17.84,14.49
1994,9,7.14,5.13,18.61,14.61
1994,10,8.92,7.23,18.09,14.07
1994,11,11.12,9.71,15.88,11.78
1994,12,13.27,11.49,10.1,7.11
1995,1,14.59,12.79,5.64,3.73
1995,2,15.23,13.37,3.56,2.19
1995,3,15.26,13.34,4.63,3.01
1995,4,14.45,12.4,7.27,5.4
1995,5,12.97,10.9,10.42,8.19
1995,6,11.44,8.94,13.29,10.46
1995,7,8.99,6.16,15.74,12.53
1995,8,6.74,4.69,17.78,14.2
1995,9,6.08,4.43,18.37,14.46
1995,10,7.83,5.99,18.03,13.57
1995,11,10.76,9.03,15.63,11.49
1995,12,12.92,11.09,10.62,7.19
1996,1,14.18,12.15,5.87,3.55
1996,2,15.15,12.98,2.98,1.77
1996,3,15.12,12.9,4.18,2.65
1996,4,14.22,12.32,7.28,5.37
1996,5,13.09,11.28,10.92,8.65
1996,6,12.08,9.83,13.87,11.09
1996,7,10.16,7.44,16.12,12.89
1996,8,8.18,5.73,17.74,13.9
1996,9,7.58,5.62,18.63,14.54
1996,10,9.16,7.54,17.96,13.94
1996,11,10.4,8.77,15.72,11.24
1996,12,12.86,11.03,9.65,6.24
1997,1,14.42,12.39,4.2,2.77
1997,2,15.44,13.44,2.49,1.72
1997,3,15.47,13.3,3.46,2.3
1997,4,14.56,12.57,6.49,4.84
1997,5,13.18,11.24,10.12,7.91
1997,6,11.74,9.2,13.12,10.22
1997,7,9.41,6.5,15.92,12.75
1997,8,7.29,5.09,17.68,14.09
1997,9,6.69,4.89,18.6,14.59
1997,10,8.34,6.47,17.99,14.12
1997,11,10.68,9.07,15.73,11.59
1997,12,13.08,11.24,10.29,6.99
1998,1,14.72,12.81,4.46,3.04
1998,2,15.75,13.77,2.99,1.87
1998,3,15.6,13.57,4.11,2.71
1998,4,14.89,12.85,6.85,5.12
1998,5,13.59,11.4,10.33,7.91
1998,6,11.71,9.18,13.31,10.34
1998,7,9.42,6.45,15.96,12.66
1998,8,7.51,4.69,17.88,14.06
1998,9,6.54,4.3,18.9,14.84
1998,10,8.45,6.71,18.66,14.54
1998,11,10.44,8.88,16.3,11.88
1998,12,12.76,10.91,10.52,6.8
1999,1,14.36,12.6,4.82,3.11
1999,2,15.31,13.45,2.97,1.77
1999,3,15.4,13.54,3.98,2.58
1999,4,15.08,13.15,6.89,5.13
1999,5,13.75,11.66,10.27,8.07
1999,6,11.78,9.25,13.65,10.83
1999,7,9.49,6.55,16.28,13.06
1999,8,7.23,4.75,17.96,14.24
1999,9,6.12,4.29,18.7,14.62
1999,10,8.6,6.83,18.35,14.23
1999,11,10.8,9.26,15.96,11.51
1999,12,12.64,10.99,10.72,6.8
2000,1,14.22,12.3,4.75,2.92
2000,2,15.14,13.09,2.91,1.72
2000,3,15.22,13.17,4.09,2.67
2000,4,14.56,12.6,7.13,5.31
2000,5,13.15,11.24,10.92,8.56
2000,6,11.67,9.05,13.89,11.04
2000,7,9.51,6.39,16.1,12.99
2000,8,7.17,4.78,18.21,14.64
2000,9,6.25,4.35,18.89,15.07
2000,10,8.38,6.69,18.13,14.26
2000,11,10.32,8.87,15.76,11.81
2000,12,12.64,10.96,9.91,6.95
2001,1,14.2,12.35,5.23,3.64
2001,2,15.21,13.22,3.65,2.44
2001,3,15.52,13.64,4.73,3.36
2001,4,14.86,13.05,7.04,5.3
2001,5,13.51,11.38,10.33,8
2001,6,11.46,9.09,13.42,10.56
2001,7,9.07,6.29,15.85,12.58
2001,8,7.46,4.94,17.42,13.75
2001,9,6.73,4.59,18.17,14.36
2001,10,8.3,6.65,17.73,13.34
2001,11,10.66,9.08,15.61,11
2001,12,12.49,10.55,10.35,6.36
2002,1,14.27,12.26,4.74,2.95
2002,2,15.34,13.42,2.96,1.82
2002,3,15.35,13.42,3.75,2.36
2002,4,14.3,12.41,6.33,4.59
2002,5,12.97,11.16,9.51,7.18
2002,6,11.58,9.19,12.38,9.7
2002,7,9.27,6.44,15.41,12.52
2002,8,6.6,4.32,17.07,13.74
2002,9,5.83,4.03,17.89,14.1
2002,10,8.16,6.24,17.87,13.82
2002,11,10.34,8.75,15.41,11.67
2002,12,12.61,10.64,10.79,7.61
2003,1,14.39,12.29,5.77,4.11
2003,2,15.19,13.23,3.79,2.66
2003,3,15.48,13.42,4.44,3.24
2003,4,14.51,12.46,7.21,5.56
2003,5,13.02,10.89,10.74,8.45
